decision_date,lane_key,vehicle_lane,grays_sold_demand,evidence_source,evidence_rows,decision,reason,reconsider_when,apify_run_id,apify_cost_usd
2026-07-29,prado_vx_28_150,toyota_landcruiser-prado_vx_2.8-tdi_150_wagon_auto_diesel,0.0,private Carsales shared batch,27.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,prado_kakadu_28_150,toyota_landcruiser-prado_kakadu_2.8-tdi_150_wagon_auto_diesel,0.0,private Carsales shared batch,12.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,sorento_platinum_um,kia_sorento_platinum_um_wagon_auto_diesel,0.0,private Carsales shared batch,12.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,sorento_gtline_um,kia_sorento_gt-line_um_wagon_auto_diesel,0.0,private Carsales shared batch,16.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,sorento_gtline_mq4,kia_sorento_gt-line_mq4_wagon_auto_diesel,0.0,private Carsales shared batch,43.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,carnival_s_ka4,kia_carnival_s_ka4_people-mover_auto_diesel,0.0,private Carsales shared batch,15.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,carnival_platinum_yp,kia_carnival_platinum_yp_people-mover_auto_diesel,0.0,private Carsales shared batch,17.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,carnival_platinum_ka4,kia_carnival_platinum_ka4_people-mover_auto_diesel,0.0,private Carsales shared batch,20.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,santafe_highlander_dm,hyundai_santa-fe_highlander-crdi_dm_wagon_auto_diesel,0.0,private Carsales shared batch,28.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,santafe_highlander_tm,hyundai_santa-fe_highlander-crdi_tm_wagon_auto_diesel,0.0,private Carsales shared batch,28.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,santafe_highlander_tmfl,hyundai_santa-fe_highlander-crdi_tmfl_wagon_auto_diesel,0.0,private Carsales shared batch,26.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,asx_ls_xc,mitsubishi_asx_ls_xc_wagon_auto_petrol,0.0,private Carsales shared batch,14.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,asx_es_xd,mitsubishi_asx_es_xd_wagon_auto_petrol,0.0,private Carsales shared batch,11.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,bt50_xtr_ur,mazda_bt-50_xtr_ur_dualcab-auto-diesel,0.0,private Carsales shared batch,16.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,mazda2_maxx_dj,mazda_2_maxx_dj_hatch_auto_petrol,0.0,private Carsales shared batch,10.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,pajero_sport_exceed_qe,mitsubishi_pajero-sport_exceed_qe_wagon_auto_diesel,0.0,private Carsales shared batch,23.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,pajero_sport_exceed_qf,mitsubishi_pajero-sport_exceed_qf_wagon_auto_diesel,0.0,private Carsales shared batch,28.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,pajero_sport_gls_qe,mitsubishi_pajero-sport_gls_qe_wagon_auto_diesel,0.0,private Carsales shared batch,20.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,pajero_sport_gls_qf,mitsubishi_pajero-sport_gls_qf_wagon_auto_diesel,0.0,private Carsales shared batch,20.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,chr_koba_2wd,toyota_c-hr_koba_2wd_wagon_auto_petrol,0.0,private Carsales shared batch,30.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,chr_koba_awd,toyota_c-hr_koba_awd_wagon_auto_petrol,0.0,private Carsales shared batch,15.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,chr_koba_hybrid,toyota_c-hr_koba_2wd_wagon_auto_hybrid,0.0,private Carsales shared batch,16.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,eclipse_exceed_ya,mitsubishi_eclipse-cross_exceed_ya_wagon_auto_petrol,0.0,private Carsales shared batch,12.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,eclipse_ls_ya,mitsubishi_eclipse-cross_ls_ya_wagon_auto_petrol,0.0,private Carsales shared batch,11.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,eclipse_es_yb,mitsubishi_eclipse-cross_es_yb_wagon_auto_petrol,0.0,private Carsales shared batch,7.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,dmax_xterrain_rg,isuzu_d-max_x-terrain_rg_dualcab-auto-diesel,0.0,private Carsales shared batch,50.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,qashqai_st_j11,nissan_qashqai_st_j11_wagon_auto_petrol,0.0,private Carsales shared batch,14.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,qashqai_st_j11s2,nissan_qashqai_st_j11-series2_wagon_auto_petrol,0.0,private Carsales shared batch,12.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,qashqai_ti_j11s2,nissan_qashqai_ti_j11-series2_wagon_auto_petrol,0.0,private Carsales shared batch,18.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,sportage_gtline_diesel_ql,kia_sportage_gt-line_ql_wagon_auto_diesel,0.0,private Carsales shared batch,17.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,sportage_gtline_diesel_nq5,kia_sportage_gt-line_nq5_wagon_auto_diesel,0.0,private Carsales shared batch,28.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,sportage_gtline_petrol_ql,kia_sportage_gt-line_ql_wagon_auto_petrol,0.0,private Carsales shared batch,8.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,sportage_gtline_petrol_nq5,kia_sportage_gt-line_nq5_wagon_auto_petrol,0.0,private Carsales shared batch,14.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,sportage_s_nq5,kia_sportage_s_nq5_wagon_auto_petrol,0.0,private Carsales shared batch,8.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,hiace_lwb_28_h300,toyota_hiace_lwb_2.8-tdi_h300_van_auto_diesel,0.0,private Carsales shared batch,44.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,hiace_lwb_30_h200,toyota_hiace_lwb_3.0-tdi_h200_van_auto_diesel,0.0,private Carsales shared batch,18.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,hiace_slwb_28_h300,toyota_hiace_slwb_2.8-tdi_h300_van_auto_diesel,0.0,private Carsales shared batch,19.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,landcruiser_gxl_200,toyota_landcruiser_gxl_200_wagon_auto_diesel,0.0,private Carsales shared batch,19.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,landcruiser_vx_200,toyota_landcruiser_vx_200_wagon_auto_diesel,0.0,private Carsales shared batch,13.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,landcruiser_sahara_200,toyota_landcruiser_sahara_200_wagon_auto_diesel,0.0,private Carsales shared batch,22.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,landcruiser_vx_300,toyota_landcruiser_vx_300_wagon_auto_diesel,0.0,private Carsales shared batch,8.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,mustang_gt_fm,ford_mustang_gt-5.0_fm_coupe_auto_petrol,0.0,private Carsales shared batch,38.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,mustang_gt_fn,ford_mustang_gt-5.0_fn_coupe_auto_petrol,0.0,private Carsales shared batch,31.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,grand_cherokee_laredo_wk_diesel,jeep_grand-cherokee_laredo-wk_4x4_wagon_auto_diesel,0.0,private Carsales shared batch,22.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,grand_cherokee_limited_wk_diesel,jeep_grand-cherokee_limited-wk_4x4_wagon_auto_diesel,0.0,private Carsales shared batch,29.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,grand_cherokee_limited_wk_petrol,jeep_grand-cherokee_limited-wk_4x4_wagon_auto_petrol,0.0,private Carsales shared batch,14.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,mg3_excite_szp1,mg_mg3_excite_szp1_hatch_auto_petrol,0.0,private Carsales shared batch,17.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,amarok_tdi580_highline_2h,volkswagen_amarok_tdi580-highline_2h_dualcab-auto-diesel,0.0,private Carsales shared batch,24.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,mg_hs_essence_as23,mg_hs_essence_as23_wagon_auto_petrol,1.0,private Carsales shared batch,16.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,mg_zs_excite_azs1,mg_zs_excite_azs1_wagon_auto_petrol,2.0,private Carsales shared batch,28.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,cx8_sport_kg,mazda_cx-8_sport_kg_wagon_auto_petrol,0.0,private Carsales shared batch,8.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
