repair_key,repair_item,review_bucket,decision,target_category,canonical_defect,severity_hint,cost_model,notes
please consider this when purchasing as grays does not conduct any mechanical checks on its vehicles and the sale of this vehicle is in an auction context on an as is,Please consider this when purchasing as Grays does not conduct any mechanical checks on its vehicles and the sale of this vehicle is in an auction context on an “as is.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
the vehicle may require repairs or maintenance,The vehicle may require repairs or maintenance.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
this vehicle is sold in asalvage auction,This vehicle is sold in aSALVAGE AUCTION.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_safety_removal_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
where is basis,where is” basis.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
inspection is highly recommended,inspection is highly recommended.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
may require extra parts not listed in descriptions,may require extra parts not listed in descriptions.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
or batteries jump pack to start on collection,or batteries/jump pack to start on collection.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
therefore,therefore.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_joiner_noise|boilerplate_safety_removal_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
hill holder system,hill holder system.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
confirmation of public liability certificate of currency,Confirmation of Public Liability Certificate of Currency.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_safety_removal_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
confirmation of workers compensation certificate of currency,Confirmation of Workers Compensation Certificate of Currency.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_safety_removal_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
high risk license,High Risk License.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_safety_removal_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
proof any released gasses are captured,Proof any released gasses are captured.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_safety_removal_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
swms for the operations assessed to be high risk,SWMS for the operations assessed to be high risk.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_safety_removal_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
transported and disposed of as per legislative requirements,transported and disposed of as per legislative requirements.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_safety_removal_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
alloy wheels,alloy wheels.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
leather trim,leather trim.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
new south wales,new south wales.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_safety_removal_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
location lane cove west,location: lane cove west.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
comments abs brakes,comments: abs brakes.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
other notes wa,other notes: wa.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_state,low,no_cost,bulk high-confidence review 2026-06-26
comment abs brakes,comment: abs brakes.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
abs brakes,abs brakes.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
crash test star rating 5,crash test star rating 5.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_crash_rating,low,no_cost,bulk high-confidence review 2026-06-26
dandenong south,dandenong south.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_suburb,low,no_cost,bulk high-confidence review 2026-06-26
location 140 152 national drive,location: 140-152 national drive.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
qld,qld.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_state,low,no_cost,bulk high-confidence review 2026-06-26
vic,vic.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_state,low,no_cost,bulk high-confidence review 2026-06-26
air conditioning requires attention,air conditioning requires attention.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
engine turns over no,Engine Turns Over: No.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
location 6 spartan street,location: 6 spartan street.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
service history unknown,Service History: Unknown.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
wa,wa.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_state,low,no_cost,bulk high-confidence review 2026-06-26
crash test star rating 4,crash test star rating 4.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_crash_rating,low,no_cost,bulk high-confidence review 2026-06-26
key no 0232,key no: 0232.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1007,key no: 1007.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1032,key no: 1032.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1038,key no: 1038.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1076,key no: 1076.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1103,key no: 1103.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 578,key no: 578.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
location 131 153 main beach road,location: 131-153 main beach road.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 1042,location: melbourne key no: 1042.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location wollongong,location: wollongong.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
centre console leather cracked wood and leather trim,centre console leather cracked wood and leather trim.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
full suspension upgrade to tough dog suspension fitted with electric brakes and reverse camera comment abs brakes,full suspension upgrade to tough dog suspension fitted with electric brakes and reverse camera comment: abs brakes.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
gear shift and handbrake leather trim worn,gear shift and handbrake leather trim worn.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
gear shift leather trim worn,gear shift leather trim worn.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
interior gear shift leather trim worn,interior: gear shift leather trim worn.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_feature_list,low,no_cost,bulk high-confidence review 2026-06-26
key no 1042 361854,key no: 1042 (361854).,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1063,key no: 1063.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1088,key no: 1088.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1089,key no: 1089.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1107 345070,Key No: 1107 (345070).,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 1166,key no: 1166.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 11a,key no: 11a.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 134,key no: 134.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 146,key no: 146.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 150,key no: 150.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 153,key no: 153.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 20,key no: 20.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 20b,key no: 20b.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 236,key no: 236.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 238,key no: 238.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 245,key no: 245.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 265,key no: 265.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 312,key no: 312.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 364,key no: 364.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 464 363761,key no: 464 (363761).,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 4e 341061,key no: 4e 341061.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 622,key no: 622.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 644,key no: 644.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 662,key no: 662.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 678,key no: 678.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 737 351484,key no: 737 (351484).,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no 976,key no: 976.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no k 583 gv373387,key no: k-583 gv373387.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
key no k 688 gv370135,key no: k-688 gv370135.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no,low,no_cost,bulk high-confidence review 2026-06-26
location 27 gladstone benaraby road,Location: 27 Gladstone-Benaraby Road.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location 3 maxwell road,location: 3 maxwell road.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location 38 toupein road,location: 38 toupein road.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location j5,location: j5.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 1069,location: melbourne key no: 1069.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 1104,location: melbourne key no: 1104.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 1168,location: melbourne key no: 1168.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 179,location: melbourne key no: 179.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 23,location: melbourne key no: 23.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 231,location: melbourne key no: 231.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 353,location: melbourne key no: 353.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 597,location: melbourne key no: 597.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne key no 713,location: melbourne key no: 713.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location perth,location: perth.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
location u1 73 beaumont street,Location: U1/73 Beaumont Street.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
mechanical inspection advised,mechanical inspection advised.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
mechanical inspection recommended,mechanical inspection recommended.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
nt 0830,nt 0830.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_state,low,no_cost,bulk high-confidence review 2026-06-26
other notes vic,Other Notes: VIC.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_state,low,no_cost,bulk high-confidence review 2026-06-26
push start location melbourne key no 470,push start location: melbourne key no: 470.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
sa,sa.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_state,low,no_cost,bulk high-confidence review 2026-06-26
satellite navigation system location melbourne key no 1170,satellite navigation system location: melbourne key no: 1170.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
snorkal location melbourne key no 197,snorkal location: melbourne key no: 197.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_key_no|boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
sold from sellers location,Sold from sellers location.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
jump start or towing required,jump start or towing required.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party,transmission requires attention strongly recommend inspection by qualified third party.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
engine oil leak,engine oil leak.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
abs light on,abs light on.,Real repair gap,Add dictionary rule,mechanical,abs_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
engine overheating,engine overheating.,Unknown,Add dictionary rule,mechanical,engine_overheating,high,hard_avoid,bulk high-confidence review 2026-06-26
suspension requires attention,suspension requires attention.,Real repair gap,Add dictionary rule,mechanical,suspension_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
brakes require attention,brakes require attention.,Unknown,Add dictionary rule,mechanical,brakes_require_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
clutch requires attention,clutch requires attention.,Real repair gap,Add dictionary rule,mechanical,clutch_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention,transmission requires attention.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
engine noise,engine noise.,Unknown,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
engine smoke,engine smoke.,Unknown,Add dictionary rule,mechanical,engine_smoke_visible,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light on dents or marks on body consistent with age and kilometres,engine light on dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
oil leak,oil leak.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
tyre pressure warning light on,tyre pressure warning light on.,Real repair gap,Add dictionary rule,mechanical,tyre_pressure_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
airbag warning light on,airbag warning light on.,Real repair gap,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
check engine light showing,check engine light showing.,Unknown,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light,engine light.,Unknown,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine light on dash,engine light on dash.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine warning light on,engine warning light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine mechanical engine light on,engine & mechanical: engine light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
oil leak observed,oil leak observed.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
tilt tray recommended for collection,tilt tray recommended for collection.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
warning lights on dash,warning lights on dash.,Unknown,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
engine noise evident,engine noise evident.,Unknown,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
warning light on,warning light on.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
engine not tested due to fuel leak,engine not tested due to fuel leak.,Real repair gap,Add dictionary rule,mechanical,fuel_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
engine smoke visible dents or marks on body consistent with age and kilometres,engine smoke visible dents or marks on body consistent with age and kilometres.,Unknown,Add dictionary rule,mechanical,engine_smoke_visible,high,hard_avoid,bulk high-confidence review 2026-06-26
check engine light,check engine light.,Unknown,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
check engine warning light on,check engine warning light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
engine oil leak dents or marks on body consistent with age and kilometres,engine oil leak dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
interior tpms warning light on,interior: tpms warning light on.,Real repair gap,Add dictionary rule,mechanical,tyre_pressure_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
gearbox requires attention,gearbox requires attention.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
head gasket requires attention,head gasket requires attention.,Real repair gap,Add dictionary rule,mechanical,head_gasket_issue,high,hard_avoid,bulk high-confidence review 2026-06-26
interior airbag warning light on,interior: airbag warning light on.,Real repair gap,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
interior check engine warning light on,interior: check engine warning light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
other warning light on dents or marks on body consistent with age and kilometres,other warning light on dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
other warning light on windscreen chipped or cracked,other warning light on windscreen chipped or cracked.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
tilt tray recommended for pickup,tilt tray recommended for pickup.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
warning light on dash,warning light on dash.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
airbag light on dash,airbag light on dash.,Real repair gap,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
